"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"289","3","1","3","1","1","1","2","1",1,0,"1","1","1","3",1987,"488","2"
"290","1","1",NA,"2","1","2","2","3",1,0,"2","1","1","3",1987,"492","2"
"291","5","2","2","1","1","2","2","2",0,1,"2","2","2","3",1987,"494","2"
"292","0","1","1","1","1","1","1","1",1,0,"1","1","1","3",1987,"495","3"
"293","1","1","2","2","2","3","2","1",0,0,"2","2","2","3",1987,"496","2"
"294","5","2","3","1","2","1","1","3",0,0,"2","2","2","3",1987,"511","3"
"295","5","1","2","1","1","1","1","1",0,0,"1","1","1","3",1987,"514","3"
"296","0","2","3","1","1","1","2","2",0,0,"2","2","1","3",1987,"522","3"
"297","5","2","3","2","2","1","2","1",1,0,"1","2","2","3",1987,"523","3"
"298","0","1","1","2","2","2","3","1",0,0,"2","2","2","3",1987,"525","2"
"299","1","1","2","3","2","2","2","3",0,0,"1","1","2","3",1987,"527","3"
"300","5","1","3","1","1","2","3","3",0,0,"2","1","2","3",1987,"530","3"
"301","2","1","3","2","1","1","3","1",1,1,"2","2","2","3",1987,"531","2"
"302","2","1","2","1","1","2","2","3",0,1,"2","2","2","3",1987,"545","3"
"303","4","1","1","2","2","2","3","1",1,0,"2","2","2","4",1987,"548","3"
"304","5","1","1","2","2","1","1","1",0,1,"2","2","1","3",1987,"549","3"
"305","5","1","1","1","2","2","2","3",0,0,"2","2","2","3",1987,"556","2"
"306","0","1","1","2","2","1","2","3",0,1,"1","1","1","3",1987,"557","2"
"307","0","1","1","2","2","1","3","3",0,1,"2","2","2","3",1987,"563","2"
"308","0","2","1","2","2","3","2","3",0,0,"1","1","1","3",1987,"567","3"
"309","3","1","2","2","1","1","3","1",0,1,"1","1","1","3",1987,"577","3"
"310","5","1","2","1","1","1","1","1",0,0,"2","2","2","3",1987,"580","3"
"311","2","1","2","2","2","1","2","2",0,0,"2","2","1","3",1987,"581","2"
"312","5","1","2","2","2","2","2","1",0,0,"2","2","2","3",1987,"582","3"
"313","4","1","2","1","1","2","2","1",0,0,"2","1","2","3",1987,"583","2"
"314","0","1",NA,"2","2","1","1","1",0,0,"2","2","2","3",1987,"584","3"
"315","5","1","3","3","1","1","2","1",0,0,"2","2","2","3",1987,"586","3"
"316","6","1","2","1","2","1","1","1",0,0,"1","1","1","3",1987,"588","2"
"317","3","1","3","2","1","1","1","1",1,0,"2","2","2","3",1987,"589","2"
"318","4","2","1","1","1","1","2","1",0,1,"1","1","2","3",1987,"591","2"
"319","2","2","2","1","1","1","2","3",0,1,"2","1","2","3",1987,"593","3"
"320","6","1","1","2","2","2","1","3",0,0,"2","2","2","3",1987,"594","2"
"321","2","2","2","1","2","3","2","3",0,0,"2","2","1","3",1987,"595","1"
"322","2","1","2","2","1","1","2","1",1,1,"1","1","1","3",1987,"597","2"
"323","1","1","2","1","1","1","3","3",0,0,"2","2","2","3",1987,"605","2"
"324","1","1","1","2","1",NA,"2","3",0,0,"1","1","2","3",1987,"607","3"
